precipitation,date (mm/dd/yyyy),daily_min_temp,daily_max_temp
16,1/1/2013,13,29
39,1/2/2013,21,36
11,1/3/2013,24,24
7,1/4/2013,25,26
19,1/5/2013,18,28
11,1/6/2013,22,37
14,1/7/2013,14,28
34,1/8/2013,32,38
8,1/9/2013,28,37
32,1/10/2013,19,34
7,1/11/2013,26,40
20,1/12/2013,13,36
16,1/13/2013,25,37
32,1/14/2013,22,27
14,1/15/2013,10,30
17,1/16/2013,14,34
25,1/17/2013,25,37
29,1/18/2013,26,33
24,1/19/2013,16,28
20,1/20/2013,11,27
35,1/21/2013,25,29
12,1/22/2013,16,25
18,1/23/2013,16,24
40,1/24/2013,19,25
37,1/25/2013,11,29
28,1/26/2013,19,26
11,1/27/2013,23,27
16,1/28/2013,13,39
27,1/29/2013,28,36
27,1/30/2013,12,40
25,1/31/2013,34,40
34,2/1/2013,15,28
28,2/2/2013,24,25
37,2/3/2013,13,38
37,2/4/2013,29,33
35,2/5/2013,17,27
34,2/6/2013,26,36
7,2/7/2013,38,40
0,2/8/2013,17,30
17,2/9/2013,25,35
16,2/10/2013,14,27
22,2/11/2013,35,40
36,2/12/2013,25,31
6,2/13/2013,11,24
26,2/14/2013,18,25
36,2/15/2013,17,26
27,2/16/2013,38,38
35,2/17/2013,15,38
22,2/18/2013,10,37
30,2/19/2013,21,28
26,2/20/2013,34,35
16,2/21/2013,29,29
10,2/22/2013,20,26
19,2/23/2013,26,30
20,2/24/2013,34,35
15,2/25/2013,21,38
8,2/26/2013,10,28
38,2/27/2013,17,40
6,2/28/2013,12,40
1,3/1/2013,13,33
9,3/2/2013,12,31
38,3/3/2013,18,28
24,3/4/2013,11,30
33,3/5/2013,24,26
9,3/6/2013,28,31
36,3/7/2013,12,37
22,3/8/2013,19,29
26,3/9/2013,29,35
40,3/10/2013,25,25
36,3/11/2013,12,24
36,3/12/2013,20,26
0,3/13/2013,15,30
16,3/14/2013,18,36
14,3/15/2013,13,38
11,3/16/2013,35,36
28,3/17/2013,16,29
35,3/18/2013,26,38
17,3/19/2013,30,35
15,3/20/2013,31,36
16,3/21/2013,21,33
1,3/22/2013,23,37
8,3/23/2013,28,35
4,3/24/2013,23,30
5,3/25/2013,13,31
4,3/26/2013,12,28
17,3/27/2013,39,39
3,3/28/2013,15,38
11,3/29/2013,20,40
18,3/30/2013,32,33
14,3/31/2013,13,31
10,4/1/2013,14,39
9,4/2/2013,17,39
11,4/3/2013,16,28
0,4/4/2013,16,26
1,4/5/2013,18,39
10,4/6/2013,11,26
7,4/7/2013,17,35
11,4/8/2013,17,27
5,4/9/2013,38,39
8,4/10/2013,35,38
8,4/11/2013,33,35
10,4/12/2013,24,26
11,4/13/2013,14,26
18,4/14/2013,15,34
17,4/15/2013,15,38
13,4/16/2013,24,27
14,4/17/2013,18,39
10,4/18/2013,14,36
9,4/19/2013,25,26
12,4/20/2013,19,31
3,4/21/2013,22,34
19,4/22/2013,22,30
6,4/23/2013,12,39
2,4/24/2013,27,33
15,4/25/2013,10,30
10,4/26/2013,11,40
17,4/27/2013,15,25
14,4/28/2013,23,39
19,4/29/2013,14,38
15,4/30/2013,21,34
4,5/1/2013,15,31
1,5/2/2013,10,37
5,5/3/2013,18,37
8,5/4/2013,18,38
1,5/5/2013,20,29
1,5/6/2013,23,32
0,5/7/2013,27,38
19,5/8/2013,21,36
6,5/9/2013,22,40
8,5/10/2013,11,39
3,5/11/2013,20,36
19,5/12/2013,27,38
5,5/13/2013,19,28
17,5/14/2013,27,35
4,5/15/2013,21,26
4,5/16/2013,36,36
7,5/17/2013,25,39
18,5/18/2013,19,40
5,5/19/2013,11,36
7,5/20/2013,12,39
16,5/21/2013,26,34
11,5/22/2013,17,35
0,5/23/2013,14,31
2,5/24/2013,40,40
18,5/25/2013,25,25
17,5/26/2013,20,27
0,5/27/2013,17,31
0,5/28/2013,23,26
3,5/29/2013,34,37
5,5/30/2013,25,30
8,5/31/2013,37,40
17,6/1/2013,23,24
15,6/2/2013,13,36
10,6/3/2013,12,27
15,6/4/2013,20,27
5,6/5/2013,22,25
2,6/6/2013,26,33
1,6/7/2013,38,39
18,6/8/2013,19,38
11,6/9/2013,17,36
8,6/10/2013,17,32
15,6/11/2013,18,24
5,6/12/2013,23,38
0,6/13/2013,24,36
20,6/14/2013,26,26
3,6/15/2013,29,40
18,6/16/2013,12,37
4,6/17/2013,21,35
17,6/18/2013,29,34
7,6/19/2013,25,30
5,6/20/2013,26,40
13,6/21/2013,25,28
4,6/22/2013,28,28
6,6/23/2013,23,28
1,6/24/2013,18,31
14,6/25/2013,12,39
10,6/26/2013,15,27
13,6/27/2013,23,26
2,6/28/2013,32,33
8,6/29/2013,18,26
13,6/30/2013,10,27
1,7/1/2013,23,24
14,7/2/2013,11,40
0,7/3/2013,14,26
9,7/4/2013,11,30
7,7/5/2013,33,33
16,7/6/2013,15,26
18,7/7/2013,28,37
14,7/8/2013,22,34
2,7/9/2013,28,29
10,7/10/2013,31,32
12,7/11/2013,36,36
20,7/12/2013,19,31
17,7/13/2013,21,27
12,7/14/2013,32,33
0,7/15/2013,23,33
12,7/16/2013,18,25
19,7/17/2013,24,34
11,7/18/2013,17,25
16,7/19/2013,11,24
4,7/20/2013,12,27
10,7/21/2013,22,40
12,7/22/2013,18,25
4,7/23/2013,25,26
6,7/24/2013,21,24
11,7/25/2013,12,26
2,7/26/2013,18,31
2,7/27/2013,10,32
17,7/28/2013,37,37
15,7/29/2013,22,27
0,7/30/2013,25,26
19,7/31/2013,10,27
14,8/1/2013,33,39
10,8/2/2013,12,26
9,8/3/2013,25,32
16,8/4/2013,21,25
0,8/5/2013,28,39
7,8/6/2013,31,33
1,8/7/2013,12,34
8,8/8/2013,21,25
11,8/9/2013,19,30
10,8/10/2013,26,35
14,8/11/2013,16,27
4,8/12/2013,21,35
4,8/13/2013,11,25
9,8/14/2013,12,29
4,8/15/2013,17,38
4,8/16/2013,10,24
10,8/17/2013,28,40
5,8/18/2013,29,30
15,8/19/2013,20,28
20,8/20/2013,14,36
18,8/21/2013,24,33
19,8/22/2013,27,37
13,8/23/2013,35,40
11,8/24/2013,10,24
12,8/25/2013,13,32
7,8/26/2013,32,32
18,8/27/2013,18,32
6,8/28/2013,34,37
0,8/29/2013,34,35
6,8/30/2013,28,39
19,8/31/2013,15,26
19,9/1/2013,17,24
5,9/2/2013,26,39
1,9/3/2013,17,24
12,9/4/2013,12,36
15,9/5/2013,13,26
16,9/6/2013,15,30
7,9/7/2013,28,36
20,9/8/2013,26,34
0,9/9/2013,23,32
18,9/10/2013,19,26
15,9/11/2013,21,26
3,9/12/2013,20,24
13,9/13/2013,10,36
19,9/14/2013,13,37
13,9/15/2013,31,31
7,9/16/2013,28,28
3,9/17/2013,10,27
1,9/18/2013,31,31
0,9/19/2013,14,27
12,9/20/2013,30,30
9,9/21/2013,12,32
13,9/22/2013,27,29
11,9/23/2013,20,28
1,9/24/2013,10,27
10,9/25/2013,17,32
12,9/26/2013,21,38
0,9/27/2013,15,39
0,9/28/2013,14,33
3,9/29/2013,10,27
3,9/30/2013,25,34
3,10/1/2013,24,34
1,10/2/2013,31,32
1,10/3/2013,30,36
2,10/4/2013,19,25
3,10/5/2013,11,28
0,10/6/2013,26,34
2,10/7/2013,19,27
3,10/8/2013,25,28
0,10/9/2013,24,36
2,10/10/2013,20,36
5,10/11/2013,33,38
0,10/12/2013,19,38
4,10/13/2013,16,37
4,10/14/2013,26,29
0,10/15/2013,21,31
0,10/16/2013,23,28
2,10/17/2013,27,36
4,10/18/2013,21,36
4,10/19/2013,26,29
3,10/20/2013,23,26
5,10/21/2013,12,37
5,10/22/2013,19,29
0,10/23/2013,24,31
2,10/24/2013,29,30
3,10/25/2013,16,40
4,10/26/2013,26,34
5,10/27/2013,25,25
5,10/28/2013,26,26
2,10/29/2013,24,40
4,10/30/2013,17,36
5,10/31/2013,24,34
5,11/1/2013,14,39
5,11/2/2013,19,24
2,11/3/2013,24,27
2,11/4/2013,17,26
3,11/5/2013,26,40
4,11/6/2013,15,30
1,11/7/2013,10,24
4,11/8/2013,35,40
3,11/9/2013,19,26
2,11/10/2013,13,32
3,11/11/2013,27,32
0,11/12/2013,10,30
0,11/13/2013,20,38
5,11/14/2013,28,37
5,11/15/2013,26,29
0,11/16/2013,23,37
2,11/17/2013,34,40
4,11/18/2013,10,27
3,11/19/2013,18,31
3,11/20/2013,25,30
1,11/21/2013,12,40
3,11/22/2013,17,32
5,11/23/2013,29,39
3,11/24/2013,28,29
5,11/25/2013,22,29
1,11/26/2013,11,30
2,11/27/2013,16,26
3,11/28/2013,36,39
0,11/29/2013,28,33
5,11/30/2013,16,27
1,12/1/2013,15,24
3,12/2/2013,22,25
5,12/3/2013,27,37
5,12/4/2013,17,39
1,12/5/2013,29,30
1,12/6/2013,11,27
1,12/7/2013,14,26
2,12/8/2013,14,27
2,12/9/2013,14,26
4,12/10/2013,13,27
5,12/11/2013,32,40
2,12/12/2013,13,34
4,12/13/2013,16,25
3,12/14/2013,17,25
2,12/15/2013,24,36
1,12/16/2013,27,33
5,12/17/2013,22,40
1,12/18/2013,33,40
1,12/19/2013,28,40
3,12/20/2013,13,35
1,12/21/2013,10,39
1,12/22/2013,17,32
4,12/23/2013,13,24
4,12/24/2013,16,26
4,12/25/2013,11,27
1,12/26/2013,21,36
2,12/27/2013,13,26
4,12/28/2013,11,33
2,12/29/2013,15,36
5,12/30/2013,18,32
5,12/31/2013,17,35